id_estudante,estado,cidade,tipo_escola,renda_familiar,nota_matematica,nota_linguagens,nota_ciencias,nota_humanas,nota_redacao,media_final
1,RJ,Rio de Janeiro,Privada,4277.46,595.34,648.4,699.21,675.79,682.02,660.15
2,AM,Manaus,Privada,10758.81,788.2,797.79,648.6,759.84,795.12,757.91
3,BA,Feira de Santana,Pública,11641.62,730.29,636.45,704.96,721.38,685.06,695.63
4,RJ,Duque de Caxias,Pública,4963.13,391.0,493.05,508.04,434.84,375.36,440.46
5,RJ,Niterói,Privada,6197.79,452.66,576.27,476.36,426.11,601.69,506.62
6,AM,Itacoatiara,Pública,7364.1,759.72,607.88,660.18,697.08,652.18,675.41
7,SP,Santos,Pública,1739.88,478.0,533.93,590.82,635.95,653.62,578.46
8,MG,Juiz de Fora,Pública,11378.84,554.05,460.46,470.58,497.78,564.83,509.54
9,CE,Fortaleza,Privada,13027.66,720.91,597.42,609.56,595.12,598.28,624.26
10,BA,Salvador,Pública,2426.63,630.84,673.08,745.65,702.35,705.0,691.39
11,BA,Feira de Santana,Pública,2311.03,402.6,509.92,551.29,563.48,649.43,535.34
12,AM,Manaus,Pública,7738.2,731.59,673.47,612.9,662.05,754.89,686.98
13,RJ,Rio de Janeiro,Privada,12387.53,663.92,611.73,774.81,792.35,582.5,685.06
14,AM,Itacoatiara,Pública,10923.88,465.96,420.62,529.28,436.2,472.11,464.83
15,SP,Campinas,Pública,902.11,656.39,637.2,686.19,638.76,568.74,637.46
16,CE,Caucaia,Pública,11071.61,588.71,573.63,528.76,603.76,685.51,596.07
17,PE,Petrolina,Pública,13066.48,627.33,594.49,762.95,698.55,676.82,672.03
18,RS,Caxias do Sul,Pública,2790.59,429.83,591.88,668.53,609.02,584.47,576.75
19,AM,Manaus,Privada,13954.41,620.77,632.17,682.56,668.53,644.81,649.77
20,PR,Maringá,Privada,11948.84,703.65,556.57,600.96,645.98,648.24,631.08
21,AM,Manaus,Privada,1611.75,610.84,730.68,785.01,677.68,669.99,694.84
